118784412	2.91	45	Sophomore
124208644	2.66	102	Senior
131838016	2.7	77	Junior
143293833	2.62	30	Sophomore
163728111	3.04	54	Sophomore
164500920	3.62	108	Senior
164776911	3.65	85	Junior
170815037	2.51	33	Sophomore
185141262	2.04	66	Junior
191083779	3.61	113	Senior
203745018	3.11	82	Junior
212976207	3.4	30	Sophomore
222105935	2.66	51	Sophomore
224620876	2.94	123	Senior
232820149	1.99	84	Junior
252533260	1.72	36	Sophomore
260369148	2.81	42	Sophomore
261812056	3.08	120	Senior
262891588	3.33	88	Junior
271978135	2.5	42	Sophomore
273277984	3.52	48	Sophomore
279702622	3.21	117	Senior
285719425	2.24	75	Junior
290986112	2.26	30	Sophomore
296669559	3.25	57	Sophomore
302335678	3.58	108	Senior
308635036	3.15	87	Junior
315967897	2.93	27	Freshman
328718420	3.06	60	Junior
332012037	3.09	114	Senior
340502961	3.56	88	Junior
363200537	2.07	42	Sophomore
365774792	2.32	62	Junior
382109560	2.57	107	Senior
387215322	2.5	96	Senior
391910519	1.91	30	Sophomore
406746417	2.02	60	Junior
409508678	3.34	104	Senior
419180204	3.58	85	Junior
432180765	2.42	24	Freshman
449976666	3.22	54	Sophomore
466094162	3.6	124	Senior
467545237	3.11	93	Senior
477453864	2.78	18	Freshman
483223789	3.35	60	Junior
483727101	3.73	108	Senior
485619193	2.95	87	Junior
490649143	2.55	39	Sophomore
495490053	2.26	57	Sophomore
500094214	3.25	121	Senior
501674545	2.64	84	Junior
504013895	2.18	30	Sophomore
513110141	2.16	54	Sophomore
513729696	1.88	114	Senior
550658107	1.94	75	Junior
587735656	2.36	43	Sophomore
590987789	2.8	54	Sophomore
601496044	3.38	108	Senior
636596145	2.49	90	Senior
644488789	2.64	30	Sophomore
658579865	3.15	51	Sophomore
664353912	3.54	114	Senior
696302689	3.48	93	Senior
712524758	3.58	24	Freshman
712952591	3.71	78	Junior
722131306	3.59	124	Senior
737972250	3.28	86	Junior
743991555	2.67	36	Sophomore
750913239	3.12	57	Sophomore
774885901	3.52	105	Senior
785103478	3.5	93	Senior
785273479	3.19	30	Sophomore
785811329	2.32	60	Junior
787422802	2.69	109	Senior
793034333	2.73	90	Senior
801166066	2.06	33	Sophomore
803024290	3.58	60	Junior
812073765	3.62	120	Senior
831142613	3.47	81	Junior
845037919	1.95	36	Sophomore
850631208	2.04	58	Sophomore
862952924	1.82	108	Senior
867910658	3.42	90	Senior
876550324	3.52	24	Freshman
885469446	3.07	57	Sophomore
895255243	3.16	110	Senior
901511548	3.24	83	Junior
905922853	2.45	36	Sophomore
907425648	3.51	61	Junior
909334701	2.84	120	Senior
916916939	3.58	89	Junior
930231660	2.8	33	Sophomore
952145559	3.86	57	Sophomore
956234659	3.9	98	Senior
965882492	3.68	82	Junior
973071948	2.8	39	Sophomore
980102825	2.8	57	Sophomore
985954783	0.5	88	Junior
992485307	0.51	30	Sophomore
